k (in Mpc^-1), P(k)
1e-06,2.6318356519031384e-09
1.603718743751331e-06,2.6963967292047217e-09
2.571913809059347e-06,2.66090445927091e-09
4.124626382901357e-06,2.701730344799618e-09
6.61474064123016e-06,2.56547875683844e-09
1.0608183551394504e-05,2.4236445567936024e-09
1.7012542798525927e-05,2.339655204284198e-09
2.728333376486775e-05,2.447408038275872e-09
4.375479375074198e-05,2.472737438670567e-09
7.017038286703852e-05,2.4253042256110503e-09
0.00011253355826007692,2.395120404568055e-09
0.0001804721766827178,2.2733107133309434e-09
0.00028942661247167637,2.1803091597027087e-09
0.0004641588833612801,2.147223322467541e-09
0.0007443803013251727,2.2434480379248757e-09
0.001193776641714443,2.266420686811782e-09
0.0019144819761699693,2.2218444530478946e-09
0.003070290629757869,2.1804278605234602e-09
0.004923882631706772,2.0341552594181722e-09
0.00789652286849978,2.055912735723994e-09
0.012663801734674119,1.923479107938325e-09
0.020309176209047496,1.919044132761582e-09
0.03257020655659804,1.9594578706819256e-09
0.052233450742668754,1.912803033163868e-09
0.08376776400682971,1.9067954771908957e-09
0.13433993325989085,1.792876658256585e-09
0.21544346900318964,1.770760039073996e-09
0.34551072945922395,1.7620706126852215e-09
0.5541020330009524,1.6984420665873066e-09
0.8886238162743456,1.6564415986898222e-09
1.4251026703030065,1.588619639466836e-09
2.285463864135004,1.5735770866091279e-09
3.665241237079649,1.5469508218718723e-09
5.878016072274948,1.5297072011916724e-09
9.426684551178907,1.4585441339763953e-09
15.11775070615671,1.5164992493239143e-09
24.244620170823417,1.4240908110110156e-09
38.88155180308109,1.3350215819482027e-09
62.35507341273947,1.3662409974979794e-09
1.0,1.6574002849542857e-09
