N (e-folds), phi (in Mpl), phi' (in Mpl), T (in Mpl)
0,23.6895,-0.128741,0.000185229
1e-06,23.6895,-0.128741,0.000185229
5.5e-06,23.6895,-0.128741,0.000185229
2.575e-05,23.6895,-0.128741,0.000185229
0.000116875,23.6895,-0.128741,0.000185229
0.000526938,23.6894,-0.128741,0.000185229
0.00237222,23.6892,-0.12874,0.000185229
0.010676,23.6881,-0.128737,0.000185232
0.0480429,23.6833,-0.128724,0.000185243
0.180977,23.6662,-0.128703,0.000185247
0.313912,23.6491,-0.128713,0.000185217
0.446847,23.632,-0.128747,0.000185165
0.579781,23.6149,-0.128799,0.000185102
0.712716,23.5977,-0.128863,0.000185034
0.84565,23.5806,-0.128935,0.000184966
0.978585,23.5635,-0.129011,0.0001849
1.11329,23.5461,-0.129091,0.000184835
1.25443,23.5278,-0.129175,0.00018477
1.40356,23.5086,-0.129264,0.000184704
1.56313,23.4879,-0.129358,0.000184636
1.73722,23.4654,-0.12946,0.000184564
1.9346,23.4399,-0.129575,0.000184484
2.17475,23.4087,-0.129714,0.000184387
2.41219,23.3779,-0.129851,0.000184293
2.65896,23.3458,-0.129994,0.000184194
2.88286,23.3167,-0.130123,0.000184104
3.11538,23.2864,-0.130259,0.00018401
3.3479,23.2561,-0.130394,0.000183916
3.58042,23.2258,-0.13053,0.000183821
3.81294,23.1954,-0.130667,0.000183727
4.04546,23.165,-0.130804,0.000183632
4.27798,23.1346,-0.130941,0.000183537
4.5105,23.1042,-0.131079,0.000183441
4.74302,23.0737,-0.131217,0.000183346
4.97554,23.0431,-0.131356,0.00018325
5.20806,23.0126,-0.131495,0.000183155
5.44058,22.982,-0.131635,0.000183058
5.6731,22.9514,-0.131775,0.000182962
5.90562,22.9207,-0.131916,0.000182866
6.13814,22.89,-0.132057,0.000182769
6.37066,22.8593,-0.132199,0.000182672
6.60318,22.8285,-0.132341,0.000182575
6.8357,22.7977,-0.132484,0.000182478
7.06822,22.7669,-0.132627,0.00018238
7.30074,22.7361,-0.13277,0.000182282
7.53326,22.7052,-0.132914,0.000182184
7.76578,22.6743,-0.133059,0.000182086
7.9983,22.6433,-0.133204,0.000181987
8.23082,22.6123,-0.133349,0.000181889
8.46334,22.5813,-0.133496,0.00018179
8.69586,22.5502,-0.133642,0.000181691
8.92838,22.5191,-0.133789,0.000181591
9.1609,22.488,-0.133937,0.000181492
9.39342,22.4569,-0.134085,0.000181392
9.62594,22.4257,-0.134234,0.000181292
9.85846,22.3944,-0.134383,0.000181192
10.091,22.3632,-0.134532,0.000181091
10.3235,22.3319,-0.134683,0.000180991
10.556,22.3005,-0.134833,0.00018089
10.7885,22.2692,-0.134985,0.000180788
10.9977,22.2409,-0.135121,0.000180697
11.2074,22.2126,-0.135259,0.000180605
11.4169,22.1842,-0.135396,0.000180514
11.6263,22.1558,-0.135534,0.000180422
11.8356,22.1275,-0.135673,0.00018033
12.0447,22.0991,-0.135811,0.000180238
12.2536,22.0707,-0.135951,0.000180145
12.4624,22.0423,-0.13609,0.000180053
12.6711,22.0139,-0.13623,0.00017996
12.8796,21.9855,-0.13637,0.000179868
13.088,21.957,-0.13651,0.000179775
13.2963,21.9286,-0.136651,0.000179682
13.5043,21.9001,-0.136793,0.000179589
13.7123,21.8717,-0.136934,0.000179496
13.9201,21.8432,-0.137076,0.000179402
14.1278,21.8147,-0.137218,0.000179309
14.3353,21.7862,-0.137361,0.000179215
14.5427,21.7577,-0.137504,0.000179121
14.7499,21.7292,-0.137648,0.000179027
14.957,21.7007,-0.137792,0.000178933
15.164,21.6722,-0.137936,0.000178839
15.3708,21.6436,-0.13808,0.000178745
15.5774,21.6151,-0.138225,0.000178651
15.7839,21.5865,-0.138371,0.000178556
15.9903,21.5579,-0.138516,0.000178461
16.1965,21.5294,-0.138663,0.000178366
16.4026,21.5008,-0.138809,0.000178271
16.6086,21.4722,-0.138956,0.000178176
16.8143,21.4436,-0.139103,0.000178081
17.02,21.4149,-0.139251,0.000177986
17.2255,21.3863,-0.139399,0.00017789
17.4309,21.3577,-0.139547,0.000177794
17.6361,21.329,-0.139696,0.000177698
17.8411,21.3003,-0.139846,0.000177602
18.0461,21.2717,-0.139995,0.000177506
18.2508,21.243,-0.140145,0.00017741
18.4555,21.2143,-0.140296,0.000177314
18.66,21.1856,-0.140447,0.000177217
18.8643,21.1569,-0.140598,0.00017712
19.0685,21.1282,-0.14075,0.000177024
19.2726,21.0994,-0.140902,0.000176927
19.4765,21.0707,-0.141054,0.000176829
19.6802,21.0419,-0.141207,0.000176732
19.8838,21.0131,-0.141361,0.000176635
20.0873,20.9844,-0.141514,0.000176537
20.2906,20.9556,-0.141669,0.00017644
20.4938,20.9268,-0.141823,0.000176342
20.6968,20.898,-0.141978,0.000176244
20.8997,20.8692,-0.142134,0.000176145
21.1025,20.8403,-0.14229,0.000176047
21.3051,20.8115,-0.142446,0.000175949
21.5075,20.7826,-0.142603,0.00017585
21.7098,20.7538,-0.14276,0.000175751
21.912,20.7249,-0.142917,0.000175652
22.114,20.696,-0.143076,0.000175553
22.3158,20.6671,-0.143234,0.000175454
22.5175,20.6382,-0.143393,0.000175355
22.7191,20.6093,-0.143552,0.000175255
22.9205,20.5803,-0.143712,0.000175156
23.1218,20.5514,-0.143873,0.000175056
23.3229,20.5224,-0.144033,0.000174956
23.5239,20.4935,-0.144194,0.000174856
23.7247,20.4645,-0.144356,0.000174755
23.9254,20.4355,-0.144518,0.000174655
24.126,20.4065,-0.144681,0.000174554
24.3263,20.3775,-0.144844,0.000174454
24.5266,20.3485,-0.145007,0.000174353
24.7267,20.3195,-0.145171,0.000174252
24.9266,20.2904,-0.145336,0.00017415
25.1264,20.2614,-0.145501,0.000174049
25.3261,20.2323,-0.145666,0.000173948
25.5256,20.2032,-0.145832,0.000173846
