k (in Mpc^-1), P(k)
1e-06,2.7734447036692716e-09
1.603718743751331e-06,2.694284210659099e-09
2.571913809059347e-06,2.6621233723554615e-09
4.124626382901357e-06,2.600288659469643e-09
6.61474064123016e-06,2.5974393635610693e-09
1.0608183551394504e-05,2.5544195029724324e-09
1.7012542798525927e-05,2.5552443535228374e-09
2.728333376486775e-05,2.5877231691158673e-09
4.375479375074198e-05,2.512673146426972e-09
7.017038286703852e-05,2.5436255675825123e-09
0.00011253355826007692,2.4625542117163955e-09
0.0001804721766827178,2.4821593435925033e-09
0.00028942661247167637,2.4104381053712874e-09
0.0004641588833612801,2.401825631643186e-09
0.0007443803013251727,2.3868152899306874e-09
0.001193776641714443,2.2366845722410073e-09
0.0019144819761699693,2.263308611481979e-09
0.003070290629757869,2.281326036707131e-09
0.004923882631706772,2.3073211867015854e-09
0.00789652286849978,2.2929151419111485e-09
0.012663801734674119,2.1676096720067353e-09
0.020309176209047496,2.147831461155133e-09
0.03257020655659804,2.20265909616608e-09
0.052233450742668754,2.1170013863672277e-09
0.08376776400682971,2.090068329711107e-09
0.13433993325989085,2.115263882902983e-09
0.21544346900318964,2.0627174780657354e-09
0.34551072945922395,2.140759895647531e-09
0.5541020330009524,2.0173851263675743e-09
0.8886238162743456,1.9953460847020524e-09
1.4251026703030065,2.0059127725354077e-09
2.285463864135004,2.0231229604266295e-09
3.665241237079649,1.9131193055980266e-09
5.878016072274948,1.8052132887805133e-09
9.426684551178907,1.7234794287876095e-09
15.11775070615671,1.8240087489940847e-09
24.244620170823417,1.7948985336608763e-09
38.88155180308109,1.8691966270886342e-09
62.35507341273947,1.7402377047797251e-09
100.00000000000051,1.7503906340157163e-09
