k (in Mpc^-1), P(k)
1e-06,2.7993697346863436e-09
1.4563484775012444e-06,2.713733392591312e-09
2.120950887920193e-06,2.8354305452697372e-09
3.088843596477485e-06,2.869706237279848e-09
4.498432668969453e-06,2.609738741835102e-09
6.551285568595522e-06,2.8586070385578743e-09
9.540954763499964e-06,2.8036185520723305e-09
1.3894954943731417e-05,2.7299848988136965e-09
2.0235896477251637e-05,2.6929999618553007e-09
2.9470517025518218e-05,2.7139618361745224e-09
4.291934260128796e-05,2.5354640320725447e-09
6.250551925274002e-05,2.485863430257492e-09
9.102981779915264e-05,2.4711178424993857e-09
0.00013257113655901163,2.410015432241977e-09
0.00019306977288832615,2.4399372652081115e-09
0.0002811768697974248,2.4742041265537666e-09
0.00040949150623804524,2.6193369558519174e-09
0.0005963623316594685,2.44473928742941e-09
0.0008685113737513592,2.4731300036292977e-09
0.0012648552168553061,2.2772542721609084e-09
0.0018420699693267313,2.400229484191561e-09
0.0026826957952797493,2.3595859660602766e-09
0.003906939937054653,2.4387520353190077e-09
0.005689866029018351,2.306764033657633e-09
0.008286427728546928,2.24277362055144e-09
0.012067926406393406,2.2552904011394542e-09
0.017575106248548092,2.2626951208610816e-09
0.025595479226995604,2.3018120571204697e-09
0.03727593720314976,2.053925567368297e-09
0.05428675439323912,2.2798524393095352e-09
0.07906043210907775,2.202185721494992e-09
0.1151395399326458,2.0865091166964556e-09
0.16768329368110238,2.097719155135898e-09
0.24420530945486735,2.110839911361385e-09
0.35564803062231615,2.0775178085992698e-09
0.5179474679231257,2.145988338864567e-09
0.7543120063354685,2.0207385298939927e-09
1.0985411419875681,2.1199484951178107e-09
1.5998587196060723,2.0273777117711083e-09
2.329951810515393,1.921117369893032e-09
3.3932217718953583,1.8905917038347997e-09
4.941713361323878,1.907033821787682e-09
7.196856730011581,1.8989346617653972e-09
10.48113134154695,1.8683121073493967e-09
15.264179671752467,1.8985633891585238e-09
22.22996482526214,1.7811077721297653e-09
32.37457542817671,1.8541536203349623e-09
47.14866363457433,1.867225776598066e-09
68.66488450043059,1.7816634880316508e-09
100.00000000000082,1.7946554688824415e-09
